node1,node2,time,line,color
0,238,41,12,darkgreen
0,159,46,12,darkgreen
1,12,36,2,blue
1,235,44,2,blue
2,110,69,9,olive
2,139,50,9,olive
3,262,33,4,magenta
3,210,41,4,magenta
5,13,67,2,blue
5,239,54,2,blue
6,55,56,1,yellow
6,258,46,1,yellow
7,290,39,11,brown
7,311,79,11,brown
8,350,38,3,khaki
8,309,58,3,khaki
9,338,28,12,darkgreen
9,78,62,12,darkgreen
11,154,32,10,gold
11,54,41,10,gold
12,213,42,2,blue
12,1,36,2,blue
13,151,57,2,blue
13,5,67,2,blue
14,124,46,4,magenta
14,64,28,4,magenta
16,119,98,1,yellow
16,331,62,1,yellow
17,288,89,5,orange
17,40,41,5,orange
18,163,32,8,orchid
18,61,56,8,orchid
19,236,31,6,green
19,93,33,6,green
20,129,48,11,brown
20,283,38,11,brown
21,86,46,2,blue
21,75,51,2,blue
22,84,39,14,purple
22,120,81,14,purple
23,97,35,6,green
23,287,57,6,green
24,84,51,14,purple
26,98,31,6,green
26,230,64,6,green
27,239,64,2,blue
27,246,59,2,blue
30,354,24,6,green
30,150,44,6,green
31,41,28,7b,green
31,144,36,7b,green
32,343,54,8,orchid
32,303,41,8,orchid
33,344,52,9,olive
33,304,41,9,olive
34,41,57,7b,green
35,111,34,8,orchid
35,172,40,8,orchid
38,336,35,3,khaki
38,289,38,3,khaki
39,153,38,13,aqua
39,267,46,13,aqua
40,17,41,5,orange
40,297,37,5,orange
41,34,57,7b,green
41,31,28,7b,green
42,190,42,9,olive
42,215,35,9,olive
44,162,54,7,pink
44,250,64,7,pink
45,348,43,6,green
45,155,35,6,green
46,242,63,5,orange
46,329,46,5,orange
47,148,46,10,gold
47,195,41,10,gold
49,164,42,7,pink
49,241,40,7,pink
50,77,54,1,yellow
50,109,62,1,yellow
51,137,62,13,aqua
51,202,69,13,aqua
54,11,41,10,gold
54,145,51,10,gold
55,127,60,1,yellow
55,6,56,1,yellow
56,351,59,2,blue
56,362,75,2,blue
57,150,35,6,green
58,307,31,9,olive
58,369,31,9,olive
59,224,72,7,pink
59,162,53,7,pink
60,299,63,9,olive
60,133,45,9,olive
61,18,56,8,orchid
61,335,28,8,orchid
62,287,53,6,green
62,216,48,6,green
63,123,44,7,pink
63,169,57,7,pink
64,14,28,4,magenta
64,192,57,4,magenta
65,342,41,4,magenta
65,121,57,4,magenta
67,135,87,1,yellow
67,173,51,1,yellow
68,136,85,11,brown
69,120,287,14,purple
69,281,131,14,purple
70,73,45,4,magenta
70,165,66,4,magenta
71,254,73,7,pink
71,255,37,7,pink
73,330,46,4,magenta
73,70,45,4,magenta
74,195,44,10,gold
74,221,52,10,gold
75,21,51,2,blue
75,142,93,2,blue
76,156,59,8,orchid
76,111,30,8,orchid
